s_no,college_code,college_name,location,region,college_type
114,1442,"Prince Dr. K Vasudevan College of Engineering and Technology, Medavakkam-Mambakkam Road, Ponmar, Chennai 600048 ",chennai,chennai,self financing colleges
115,1444,"Chendu College of Engineering & Technology, Zamin Endathur Village, Madurantakam Taluk, Chengalpattu District 603331 ",chengalpattu,chennai,self financing colleges
116,1445,"Sri Rangapoopathi College of Engineering, Alampoondi Village, Gingee, Villupuram District 604151 ",villupuram,thanjavur,self financing colleges
117,1447,"Jawahar Engineering College, Kaveri Rangan Nagar, Saligramam, Chennai 600093 ",chennai,chennai,self financing colleges
118,1449,"Saraswathy College of Engineering and Technology, NH-45, Main Road, Olakkur, Tindivanam Taluk, Villupuram District 604307 ",villupuram,thanjavur,self financing colleges
119,1450,"Loyola-ICAM College of Engineering and Technology, Loyola College Campus, Nungambakkam, Chennai 600034 ",chennai,chennai,self financing colleges
120,1452,"PERI Institute of Technology, Mannivakkam, West Tambaram, Chennai 600048 ",chennai,chennai,self financing colleges
121,1501,"Adhiparasakthi College of Engineering, Kalavai, Ranipet District 632506 ",ranipet,chennai,self financing colleges
122,1503,"Arulmigu Meenakshi Amman College of Engineering, Vadamavandal,Thiruvannamalai District 604410 ",thiruvannamalai,chennai,self financing colleges
123,1504,"Arunai Engineering College, Mathur, Thiruvannamalai District 606603 ",thiruvannamalai,chennai,self financing colleges
124,1505,"C Abdul Hakeem College of Engineering and Technology, Melvisharam, Ranipet District 632509 ",ranipet,chennai,self financing colleges
125,1507,"Ganadipathy Tulsi’s Jain Engineering College, Kaniyambadi, Vellore District 632102 ",vellore,chennai,self financing colleges
126,1509,"Meenakshi College of Engineering, Vembuliamman Koil Street, K K Nagar (West), Chennai 600078 ",chennai,chennai,self financing colleges
127,1510,"Priyadarshini Engineering College, Vaniyambadi Post, Thiruppattur District 635751 ",Tirupattur,chennai,self financing colleges
128,1511,"Ranippettai Engineering College, Thenkadappanthangal, Ranipet District 632513 ",ranipet,chennai,self financing colleges
129,1512,"S K P Engineering College, Thiruvannamalai District 606611 ",thiruvannamalai,chennai,self financing colleges
130,1513,"Sri Balaji Chockalingam Engineering College, Arni, Thiruvannamalai District 632317 ",thiruvannamalai,chennai,self financing colleges
131,1514,"Sri Nandhanam College of Engineering and Technology, Thiruppathur Dt 635601 ",thiruppathur,chennai,self financing colleges
132,1516,"Thanthai Periyar Government Institute of Technology, Bagayam, Vellore District 632002 ",vellore,chennai,government college
133,1517,"Thirumalai Engineering College, Kilambi, Kancheepuram District 631551 ",kancheepuram,chennai,self financing colleges
134,1518,"Thiruvalluvar College of Engineering and Technology, Vandavasi, Thiruvannamalai District 604505 ",thiruvannamalai,chennai,self financing colleges
135,1519,"Bharathidasan Engineering College, Nattrampalli Post, Thiruppathur District 635854 ",Tirupattur,chennai,self financing colleges
136,1520,"Kingston Engineering College, Chithoor Main Road, Christianpet Village, Katpadi Taluk, Vellore District 632059 ",vellore,chennai,self financing colleges
137,1521,"Sri Sapthagiri Institute of Technology, Ocheri, Arakonam Taluk, Ranipet District 632531 ",ranipet,chennai,self financing colleges
138,1523,"Global Institute of Engineering and Technology, Bangalore-Chennai Highway, Melvisharam, Walajah Taluk, Ranipet District 632506 ",ranipet,chennai,self financing colleges
139,1524,"Annamalaiar College of Engineering, Modaiyur Village, Polur Taluk, Thiruvannamalai District 606902 ",thiruvanamalai,chennai,self financing colleges
140,1525,"Podhigai College of Engineering and Technology, Vinayakapuram, Adiyur Post, Tirupattur District 635601 ",tirupattur,chennai,self financing colleges
141,1526,"Sri Krishna College of Engineering, Tiruttani High Road, Arakkonam, Ranipet District 631003 ",ranipet,chennai,self financing colleges
142,1529,"Oxford College of Engineering, Venmani Village, Karaipoondi Post, Polur Taluk, Thiruvannamalai District 606803 ",thiruvannamalai,chennai,self financing colleges
143,1605,"Idhaya Engineering College for Women, Chinnasalem, Kallakkurichi District 606201 ",kallakurichi,coimbatore,self financing colleges
144,2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013 ",coimbatore,coimbatore,government college
145,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004 ",coimbatore,coimbatore,government aided college
146,2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014 ",coimbatore,coimbatore,government aided college
